latitude,longitude,NO2_molec_cm2,datetime
49.15,-123.21,3982212926751110.0,2025-07-11 01:00:00
49.15,-123.19,4000800793172880.5,2025-07-11 01:00:00
49.15,-123.17,4000800793172880.5,2025-07-11 01:00:00
49.15,-123.15,6043642033134716.0,2025-07-11 01:00:00
49.15,-123.13,7977202894446258.0,2025-07-11 01:00:00
49.15,-123.11,7661863306156831.0,2025-07-11 01:00:00
49.15,-123.09,7345383258281276.0,2025-07-11 01:00:00
49.15,-123.07,1.055387418604498e+16,2025-07-11 01:00:00
49.15,-123.05,1.5356692101529588e+16,2025-07-11 01:00:00
49.15,-123.03,1.6090446749431268e+16,2025-07-11 01:00:00
49.15,-123.01,1.6756452462799762e+16,2025-07-11 01:00:00
49.15,-122.99,1.6228454875554468e+16,2025-07-11 01:00:00
49.15,-122.97,1.3062986430381462e+16,2025-07-11 01:00:00
49.15,-122.95,1.3215517834702282e+16,2025-07-11 01:00:00
49.15,-122.93,1.3399414029660128e+16,2025-07-11 01:00:00
49.15,-122.91,1.374439027647624e+16,2025-07-11 01:00:00
49.17,-123.29,3876985023697794.5,2025-07-11 01:00:00
49.17,-123.27,4017945214242075.0,2025-07-11 01:00:00
49.17,-123.25,3835154167518220.5,2025-07-11 01:00:00
49.17,-123.23,3961839443913290.5,2025-07-11 01:00:00
49.17,-123.21,3956886049367586.5,2025-07-11 01:00:00
49.17,-123.19,3951923310093282.5,2025-07-11 01:00:00
49.17,-123.17,3982076045509477.5,2025-07-11 01:00:00
49.17,-123.15,4203914094370302.5,2025-07-11 01:00:00
49.17,-123.13,4042900335593760.5,2025-07-11 01:00:00
49.17,-123.11,4042359972458824.5,2025-07-11 01:00:00
49.17,-123.09,7231326145191686.0,2025-07-11 01:00:00
49.17,-123.07,2.003821140398594e+16,2025-07-11 01:00:00
49.17,-123.05,2.0358526892824904e+16,2025-07-11 01:00:00
49.17,-123.03,1.9527637873143776e+16,2025-07-11 01:00:00
49.17,-123.01,1.935967408907074e+16,2025-07-11 01:00:00
49.17,-122.99,1.7566492030219512e+16,2025-07-11 01:00:00
49.17,-122.97,1.732754774533921e+16,2025-07-11 01:00:00
49.17,-122.95,1.810163427716996e+16,2025-07-11 01:00:00
49.17,-122.93,1.8798555211112016e+16,2025-07-11 01:00:00
49.17,-122.91,1.6647970763747254e+16,2025-07-11 01:00:00
49.19,-123.29,4941496308991389.0,2025-07-11 01:00:00
49.19,-123.27,4755586613264845.0,2025-07-11 01:00:00
49.19,-123.25,4295801996917506.0,2025-07-11 01:00:00
49.19,-123.23,4406221553360797.0,2025-07-11 01:00:00
49.19,-123.21,4517035593137237.0,2025-07-11 01:00:00
49.19,-123.19,4516604487805806.0,2025-07-11 01:00:00
49.19,-123.17,4434729068321747.5,2025-07-11 01:00:00
49.19,-123.15,4494291245788727.0,2025-07-11 01:00:00
49.19,-123.13,4546377126414893.0,2025-07-11 01:00:00
49.19,-123.11,5115720627704476.0,2025-07-11 01:00:00
49.19,-123.09,1.0024841191405312e+16,2025-07-11 01:00:00
49.19,-123.07,1.053405503722913e+16,2025-07-11 01:00:00
49.19,-123.05,1.0356639919832796e+16,2025-07-11 01:00:00
49.19,-123.03,1.0624751160048288e+16,2025-07-11 01:00:00
49.19,-123.01,1.9466718644881376e+16,2025-07-11 01:00:00
49.19,-122.99,2.254010814330592e+16,2025-07-11 01:00:00
49.19,-122.97,2.2090433631719024e+16,2025-07-11 01:00:00
49.19,-122.95,2.164008979446919e+16,2025-07-11 01:00:00
